Samples - X-Axis	Acceleration (g) - X-Axis	Samples - Y-Axis	Acceleration (g) - Y-Axis	Samples - Z-Axis	Acceleration (g) - Z-Axis
135	-0,0664062	135	0,0507812	135	0,992187
136	-0,0664062	136	0,0507812	136	0,992187
137	-0,0742187	137	0,0585937	137	0,996094
138	-0,078125	138	0,0664062	138	0,992187
139	-0,0820312	139	0,0625	139	1,00391
140	-0,0820312	140	0,0625	140	1,00781
141	-0,0859375	141	0,0625	141	1,00781
142	-0,0742187	142	0,0546875	142	1
143	-0,0859375	143	0,0625	143	1
144	-0,0859375	144	0,078125	144	1
145	-0,0703125	145	0,0664062	145	0,996094
146	-0,078125	146	0,0625	146	0,988281
147	-0,0898437	147	0,0625	147	0,996094
148	-0,0742187	148	0,0585937	148	0,992187
149	-0,078125	149	0,0546875	149	0,996094
150	-0,0859375	150	0,0625	150	1
151	-0,078125	151	0,0625	151	0,996094
152	-0,078125	152	0,0546875	152	0,988281
153	-0,078125	153	0,0664062	153	0,984375
154	-0,078125	154	0,0625	154	0,976562
155	-0,0859375	155	0,0585937	155	0,976562
156	-0,0859375	156	0,0585937	156	0,976562
157	-0,0898437	157	0,0664062	157	0,976562
158	-0,0820312	158	0,0664062	158	0,976562
159	-0,0820312	159	0,0507812	159	0,984375
160	-0,09375	160	0,0546875	160	0,984375
161	-0,09375	161	0,0625	161	0,992187
162	-0,0859375	162	0,0507812	162	0,992187
163	-0,0820312	163	0,0585937	163	0,988281
164	-0,078125	164	0,0585937	164	0,992187
165	-0,0664062	165	0,0546875	165	0,992187
166	-0,0703125	166	0,0546875	166	0,992187
167	-0,0703125	167	0,0625	167	0,988281
168	-0,0703125	168	0,0625	168	0,988281
169	-0,0625	169	0,0585937	169	0,996094
170	-0,0703125	170	0,0585937	170	1
171	-0,078125	171	0,0703125	171	1
172	-0,0703125	172	0,0585937	172	1,00391
173	-0,0703125	173	0,0585937	173	1,00391
174	-0,0898437	174	0,0625	174	0,996094
175	-0,0898437	175	0,0625	175	0,996094
176	-0,0859375	176	0,0585937	176	1
177	-0,0820312	177	0,0625	177	1,00391
178	-0,0820312	178	0,0664062	178	1
179	-0,0742187	179	0,0625	179	1,00391
180	-0,078125	180	0,0664062	180	1,01172
181	-0,0859375	181	0,0625	181	1
182	-0,078125	182	0,0585937	182	1,00781
183	-0,0742187	183	0,0585937	183	1,00391
184	-0,0820312	184	0,0703125	184	0,996094
