Samples - X-Axis	Acceleration (g) - X-Axis	Samples - Y-Axis	Acceleration (g) - Y-Axis	Samples - Z-Axis	Acceleration (g) - Z-Axis
137	-0,0664062	137	0,0625	137	0,964844
138	0,0117187	138	0,078125	138	0,957031
139	0,0625	139	0,0898437	139	0,957031
140	0,0625	140	0,101562	140	0,96875
141	0,03125	141	0,109375	141	0,984375
142	-0,0195312	142	0,0898437	142	1,00781
143	-0,0703125	143	0,0742187	143	1,02344
144	-0,132812	144	0,0546875	144	1,02734
145	-0,195312	145	0,0429687	145	1,02734
146	-0,214844	146	0,015625	146	1,00781
147	-0,207031	147	0	147	0,984375
148	-0,183594	148	0,0195312	148	0,960937
149	-0,125	149	0,0351562	149	0,941406
150	-0,046875	150	0,0546875	150	0,9375
151	0,03125	151	0,0664062	151	0,949219
152	0,0585937	152	0,0976562	152	0,96875
153	0,0585937	153	0,0976562	153	0,96875
154	0,0507812	154	0,105469	154	0,988281
155	0,03125	155	0,109375	155	1,00781
156	-0,0234375	156	0,09375	156	1,02344
157	-0,0820312	157	0,0742187	157	1,03125
158	-0,15625	158	0,0625	158	1,01953
159	-0,179687	159	0,015625	159	1,00391
160	-0,199219	160	0,00390625	160	0,992187
161	-0,199219	161	0,0078125	161	0,976562
162	-0,152344	162	0,0195312	162	0,960937
163	-0,152344	163	0,0195312	163	0,960937
164	-0,0976562	164	0,046875	164	0,953125
165	0,0351562	165	0,0820312	165	0,976562
166	0,0351562	166	0,0820312	166	0,976562
167	0,046875	167	0,105469	167	0,992187
168	0,0273437	168	0,117187	168	1,00781
169	-0,0117187	169	0,101562	169	1,01953
170	-0,0742187	170	0,0859375	170	1,02734
171	-0,132812	171	0,0625	171	1,02734
172	-0,132812	172	0,0625	172	1,02734
173	-0,195312	173	0,00390625	173	1,01172
174	-0,183594	174	-0,0078125	174	1,00391
175	-0,148437	175	0,0117187	175	0,980469
176	-0,0898437	176	0,0429687	176	0,957031
177	-0,0898437	177	0,0429687	177	0,957031
178	-0,015625	178	0,0664062	178	0,957031
179	0,0390625	179	0,0859375	179	0,960937
180	0,046875	180	0,109375	180	0,984375
181	0,0351562	181	0,105469	181	1
182	0,0351562	182	0,105469	182	1
183	-0,015625	183	0,09375	183	1,01563
184	-0,0742187	184	0,0820312	184	1,03906
185	-0,136719	185	0,0664062	185	1,02734
186	-0,195312	186	0,0429687	186	1,01953
187	-0,195312	187	0,0429687	187	1,01953
188	-0,214844	188	0,0078125	188	1
189	-0,203125	189	-0,0078125	189	0,988281
190	-0,164062	190	-0,00390625	190	0,960937
191	-0,109375	191	0,0351562	191	0,949219
192	-0,0429687	192	0,0742187	192	0,953125
193	0,0390625	193	0,0859375	193	0,960937
194	0,0742187	194	0,105469	194	0,980469
195	0,0585937	195	0,109375	195	1
196	0,0195312	196	0,101562	196	1,01953
197	-0,03125	197	0,0859375	197	1,02734
198	-0,09375	198	0,0664062	198	1,02344
199	-0,164062	199	0,0625	199	1,01953
200	-0,203125	200	0,0234375	200	1
201	-0,210937	201	0,00390625	201	0,988281
202	-0,199219	202	-0,00390625	202	0,964844
203	-0,160156	203	0,0195312	203	0,953125
204	-0,09375	204	0,0507812	204	0,945312
205	-0,0078125	205	0,0625	205	0,949219
206	0,0390625	206	0,0898437	206	0,957031
207	0,0429687	207	0,105469	207	0,96875
208	0,0429687	208	0,105469	208	0,96875
209	0,0390625	209	0,109375	209	0,996094
210	-0,00390625	210	0,09375	210	1,01172
211	-0,0507812	211	0,0820312	211	1,03125
212	-0,109375	212	0,0664062	212	1,01953
213	-0,160156	213	0,0429687	213	1,01953
214	-0,179687	214	0,015625	214	0,996094
215	-0,195312	215	0,00390625	215	0,988281
216	-0,164062	216	0,0078125	216	0,96875
217	-0,164062	217	0,0078125	217	0,96875
218	-0,128906	218	0,0273437	218	0,957031
219	-0,0664062	219	0,0507812	219	0,960937
220	-0,0664062	220	0,0507812	220	0,960937
221	0,00390625	221	0,0742187	221	0,964844
222	0,0273437	222	0,09375	222	0,980469
223	0,0195312	223	0,105469	223	1
224	-0,0078125	224	0,101562	224	1,01172
225	-0,0390625	225	0,0898437	225	1,02344
226	-0,0898437	226	0,078125	226	1,03906
227	-0,148437	227	0,0625	227	1,03516
228	-0,167969	228	0,0273437	228	1,01953
229	-0,171875	229	0,00390625	229	1
230	-0,164062	230	0,00390625	230	0,984375
231	-0,125	231	0,03125	231	0,957031
232	-0,0664062	232	0,0546875	232	0,953125
233	0,0117187	233	0,0664062	233	0,964844
234	0,0273437	234	0,101562	234	0,988281
235	0,0234375	235	0,105469	235	0,996094
236	0,00390625	236	0,101562	236	1,01563
237	-0,046875	237	0,0898437	237	1,03516
238	-0,105469	238	0,0820312	238	1,03516
239	-0,164062	239	0,0585937	239	1,02734
240	-0,1875	240	0,0195312	240	1,01563
241	-0,199219	241	0	241	1,00391
242	-0,179687	242	-0,0078125	242	0,972656
243	-0,136719	243	0,0234375	243	0,953125
244	-0,0742187	244	0,0507812	244	0,941406
245	0,0117187	245	0,0742187	245	0,957031
246	0,0585937	246	0,09375	246	0,96875
247	0,0585937	247	0,113281	247	0,992187
248	-0,015625	248	0,09375	248	1,03125
249	-0,015625	249	0,09375	249	1,03125
250	-0,0742187	250	0,078125	250	1,02734
251	-0,144531	251	0,0664062	251	1,02734
252	-0,195312	252	0,03125	252	1,01172
253	-0,207031	253	-0,00390625	253	0,992187
254	-0,199219	254	-0,015625	254	0,972656
255	-0,199219	255	-0,015625	255	0,972656
256	-0,171875	256	0,0078125	256	0,960937
257	-0,109375	257	0,0429687	257	0,941406
258	-0,0273437	258	0,0625	258	0,941406
259	0,03125	259	0,0820312	259	0,949219
260	0,03125	260	0,0820312	260	0,949219
261	0,0390625	261	0,105469	261	0,976562
262	0,0390625	262	0,105469	262	0,992187
263	0,0195312	263	0,0976562	263	1,01563
264	-0,0351562	264	0,0859375	264	1,03125
265	-0,0351562	265	0,0859375	265	1,03125
266	-0,09375	266	0,0703125	266	1,01953
267	-0,152344	267	0,0585937	267	1,01563
268	-0,175781	268	0,00390625	268	1,00781
269	-0,195312	269	0	269	0,984375
270	-0,179687	270	0,00390625	270	0,964844
271	-0,132812	271	0,0273437	271	0,960937
272	-0,078125	272	0,0546875	272	0,953125
273	-0,0117187	273	0,0742187	273	0,964844
274	0,0273437	274	0,0898437	274	0,984375
275	0,0273437	275	0,0898437	275	0,984375
276	0,0234375	276	0,0976562	276	1
277	-0,0078125	277	0,105469	277	1,01172
278	-0,0351562	278	0,0859375	278	1,02734
279	-0,0859375	279	0,0703125	279	1,03125
280	-0,140625	280	0,0585937	280	1,03125
281	-0,167969	281	0,03125	281	1,01563
282	-0,167969	282	0,0078125	282	1
283	-0,167969	283	0,0078125	283	1
284	-0,160156	284	0,0117187	284	0,988281
285	-0,078125	285	0,0507812	285	0,960937
286	-0,0078125	286	0,0625	286	0,964844
287	0,0234375	287	0,0898437	287	0,980469
288	0,0234375	288	0,0898437	288	0,980469
289	0,015625	289	0,0976562	289	0,984375
290	0,0078125	290	0,105469	290	1
291	-0,0390625	291	0,101562	291	1,01953
292	-0,0859375	292	0,0820312	292	1,03516
293	-0,140625	293	0,0664062	293	1,03125
294	-0,179687	294	0,0273437	294	1,01172
295	-0,183594	295	-0,00390625	295	0,988281
296	-0,148437	296	0,015625	296	0,960937
297	-0,0976562	297	0,0351562	297	0,945312
